id,title,time,meterage,price,price_per_meter,image,description,phone,floor,all_floors,build_date,rooms,facilities,latitude,longitude,priorities
1,Compatible even-keeled synergy,2024-05-09,393,52216004157,132865150.52671756,https://picsum.photos/241/10,Sound cause toward agreement if staff consumer. More out state generation describe market issue chair.,09196647456,14,14,2018-09-13,12,"[0, 1, 0]",51.48422,35.625448,"[0, 1, 1]"
2,Focused incremental info-mediaries,2023-09-06,344,90212716983,262246270.2994186,https://dummyimage.com/538x433,"Election effort change call risk plan history. Develop site society happy.
Discover small activity method price water. Thought sure recent fall site fight.",09197713542,14,20,2013-04-20,3,"[0, 1, 1]",51.60572,35.736209,"[1, 1, 0]"
3,Mandatory bottom-line moratorium,2023-09-19,428,32411495748,75727793.80373831,https://picsum.photos/71/290,Down turn blood trade mind available. If hospital wait try. Talk today magazine local.,09192320351,16,16,2006-02-22,4,"[0, 0, 0]",51.519784,35.642028,"[1, 0, 1]"
4,Secured bifurcated intranet,2023-01-15,204,55043758370,269822344.95098037,https://picsum.photos/404/410,Forward paper yeah feeling live my work. Clear several foreign matter. Culture where drive radio.,09194713831,20,20,2017-01-25,12,"[1, 1, 1]",51.484063,35.675857,"[0, 0, 1]"
5,Vision-oriented explicit extranet,2024-02-07,143,59802307877,418197957.1818182,https://dummyimage.com/984x809,Citizen face job blood official skin fill. Main campaign bad rich wish. Around protect the time around establish.,09195425178,1,12,2011-09-09,2,"[0, 1, 1]",51.593968,35.649207,"[0, 0, 1]"
6,Cross-platform optimizing productivity,2022-11-06,318,59346724983,186624921.3301887,https://placekitten.com/53/426,"Police practice response professional speech. Total ahead be through area nation able.
Fire policy wife carry baby.",09198182294,13,14,2020-12-01,17,"[1, 1, 1]",51.538451,35.653311,"[1, 0, 1]"
7,Proactive interactive concept,2023-07-31,369,55448233483,150266215.401084,https://picsum.photos/472/776,"Fight like although consider fight. Black behavior mention perform ground only capital.
American program memory yard alone. Hard nothing serious here deal not. Interesting shake media resource item.",09191800334,6,10,2023-08-11,10,"[1, 1, 0]",51.533129,35.617544,"[1, 0, 1]"
8,Total dynamic archive,2023-09-21,207,38008054586,183613790.2705314,https://picsum.photos/990/590,"True program push. Final write base idea miss election.
Government best not ground. Then experience yard claim field another.",09196667821,2,15,2014-07-26,17,"[0, 1, 0]",51.18788,35.716793,"[1, 1, 0]"
9,Re-contextualized multi-state hardware,2022-08-08,292,60575213773,207449362.23630136,https://picsum.photos/428/85,Drive teach only event budget model. Right population many son. Several feeling look care during population share.,09195224461,10,11,2011-03-02,7,"[0, 0, 1]",51.237109,35.755327,"[1, 1, 0]"
10,Reduced zero-defect throughput,2023-07-22,402,46573287864,115853949.91044776,https://picsum.photos/320/300,"Interesting which bank. Clear television industry city.
Remain agree politics customer someone land south. Civil energy involve eat rate one room pretty. Growth agree nature today dinner company.",09191570288,2,14,2006-08-24,6,"[1, 0, 1]",51.523134,35.688503,"[0, 1, 1]"
11,Cross-platform static parallelism,2023-07-23,413,40319720710,97626442.39709443,https://placekitten.com/212/905,"Line together middle moment road popular modern. Federal say across remember forget of. Occur growth standard fill own threat.
Federal ready expect simple address.",09195447120,4,16,2018-09-27,7,"[1, 0, 0]",51.58438,35.741279,"[0, 1, 1]"
12,Monitored uniform moratorium,2023-11-10,61,87931281639,1441496420.3114755,https://dummyimage.com/460x251,Federal generation pay guy. Instead through weight writer. There current guy focus receive spring much.,09194826778,17,17,2007-05-26,13,"[1, 0, 1]",51.387073,35.616732,"[1, 0, 0]"
